id,path,name,git_branch,first_seen_at,last_seen_at,metadata_json
1,c:\xampp\htdocs\pos,pos,,2026-05-13T16:29:50.337862+00:00,2026-05-13T16:30:03.147350+00:00,{}
60,c:\xampp\htdocs\bbicotailor,bbicotailor,,2026-05-13T16:29:55.171161+00:00,2026-05-13T16:29:59.905983+00:00,{}
156,c:\xampp\htdocs\bigbanguniforms2.com,bigbanguniforms2.com,,2026-05-13T16:30:03.228361+00:00,2026-05-13T16:33:26.727935+00:00,{}
158,c:\xampp\htdocs\latice,latice,,2026-05-13T16:30:03.306342+00:00,2026-05-13T16:31:10.575134+00:00,{}
216,c:\xampp\htdocs\iaPHP,iaPHP,,2026-05-13T16:30:08.302320+00:00,2026-05-13T16:30:14.174112+00:00,{}
286,c:\xampp\htdocs\impulsoresti.app\APPS\GRAPPE,GRAPPE,,2026-05-13T16:30:14.231114+00:00,2026-05-13T16:30:17.481017+00:00,{}
329,c:\xampp\htdocs\fastapiphp,fastapiphp,,2026-05-13T16:30:17.535023+00:00,2026-05-13T16:30:20.965631+00:00,{}
368,c:\xampp\htdocs\tms,tms,,2026-05-13T16:30:21.044495+00:00,2026-05-13T16:30:48.729016+00:00,{}
457,c:\xampp\htdocs\rt.impulsoresti.app,rt.impulsoresti.app,,2026-05-13T16:30:28.063041+00:00,2026-05-13T16:30:32.084117+00:00,{}
628,c:\xampp\htdocs\uplinkcg.com,uplinkcg.com,,2026-05-13T16:30:41.851649+00:00,2026-05-13T16:34:28.201645+00:00,{}
944,c:\xampp\htdocs\panel.pilateskorper.com,panel.pilateskorper.com,,2026-05-13T16:31:10.655129+00:00,2026-05-13T16:32:33.598446+00:00,{}
1067,c:\xampp\htdocs\bigbang4,bigbang4,,2026-05-13T16:31:21.971164+00:00,2026-05-13T16:34:28.674061+00:00,{}
1138,C:\Users\DISEÑO WEB,DISEÑO WEB,,2026-05-13T16:31:29.591236+00:00,2026-05-13T16:34:29.942855+00:00,{}
1180,C:\Users\DISEÑO WEB\.ssh,.ssh,,2026-05-13T16:31:34.201298+00:00,2026-05-13T16:31:34.295295+00:00,{}
1182,C:\,,,2026-05-13T16:31:34.508205+00:00,2026-05-13T16:31:35.722975+00:00,{}
1452,C:\xampp\htdocs\uplinkcg.com,uplinkcg.com,,2026-05-13T16:32:04.514180+00:00,2026-05-13T16:34:05.244226+00:00,{}
1546,C:\xampp\htdocs\bigbang4,bigbang4,,2026-05-13T16:32:15.344310+00:00,2026-05-13T16:34:30.280956+00:00,{}
2197,C:\Users\DISEÑO WEB\.openclaw\workspace,workspace,,2026-05-13T16:32:33.754921+00:00,2026-05-13T16:32:41.525796+00:00,{}
2448,C:\xampp\htdocs\bigbang4\.claude\worktrees\eager-mclean-a750e1,eager-mclean-a750e1,,2026-05-13T16:32:40.804219+00:00,2026-05-13T16:33:17.582562+00:00,{}
2464,C:\xampp\htdocs\bigbang4\.claude\worktrees\condescending-wright-649b7a,condescending-wright-649b7a,,2026-05-13T16:32:41.230126+00:00,2026-05-13T16:34:30.122963+00:00,{}
2485,c:\xampp\htdocs\uniformartexpress.com,uniformartexpress.com,,2026-05-13T16:32:41.707798+00:00,2026-05-13T16:33:15.101827+00:00,{}
2547,C:\xampp\htdocs\clawbot,clawbot,,2026-05-13T16:32:43.193558+00:00,2026-05-13T16:32:46.619347+00:00,{}
4290,C:\xampp\htdocs\BigbangFitLab,BigbangFitLab,,2026-05-13T16:33:27.044538+00:00,2026-05-13T16:33:31.774086+00:00,{}
4458,c:\xampp\htdocs\shirt-editor,shirt-editor,,2026-05-13T16:33:31.859509+00:00,2026-05-13T16:33:39.035574+00:00,{}
4509,C:\xampp\htdocs\bigbanguniforms2.com,bigbanguniforms2.com,,2026-05-13T16:33:44.600136+00:00,2026-05-13T16:33:45.888255+00:00,{}
4666,c:\xampp\htdocs\upllinkcg.com,upllinkcg.com,,2026-05-13T16:33:58.238858+00:00,2026-05-13T16:33:58.238858+00:00,{}
4928,C:\xampp\htdocs\bigbang4\temas\bigbang-30-aniversario,bigbang-30-aniversario,,2026-05-13T16:34:18.905344+00:00,2026-05-13T16:34:18.983037+00:00,{}
