id,provider,external_id,project_id,model,started_at,ended_at,status,source,metadata_json
1,codex,Clarificar documentación Front,,,2026-05-13T16:29:46.475653+00:00,,active,sessions_jsonl,{}
2,codex,Review Waf.php feedback,,,2026-05-13T16:29:46.488657+00:00,,active,sessions_jsonl,{}
3,codex,**Márgenes laterales para componente mó…,,,2026-05-13T16:29:46.501646+00:00,,active,sessions_jsonl,{}
4,codex,Oscurecer hero-area para resaltar texto,,,2026-05-13T16:29:46.513651+00:00,,active,sessions_jsonl,{}
5,codex,Fix missing Modelo_RedesSociales class,,,2026-05-13T16:29:46.527655+00:00,,active,sessions_jsonl,{}
6,codex,Centralizar textos tema Latice,,,2026-05-13T16:29:46.539650+00:00,,active,sessions_jsonl,{}
7,codex,Idiomas en renderizacion publica,,,2026-05-13T16:29:46.552651+00:00,,active,sessions_jsonl,{}
8,codex,Diseñar interfaz UI/UX inicial,,,2026-05-13T16:29:46.564649+00:00,,active,sessions_jsonl,{}
9,codex,Verificar .gitignore,,,2026-05-13T16:29:46.577651+00:00,,active,sessions_jsonl,{}
10,codex,Explicar uso de Git LFS,,,2026-05-13T16:29:46.589646+00:00,,active,sessions_jsonl,{}
11,codex,Revisar y arreglar 404 estilo Doom,,,2026-05-13T16:29:46.601645+00:00,,active,sessions_jsonl,{}
12,codex,Localiza version Layer Slider,,,2026-05-13T16:29:46.613646+00:00,,active,sessions_jsonl,{}
13,codex,Recomienda extensiones VSCode,,,2026-05-13T16:29:46.629656+00:00,,active,sessions_jsonl,{}
14,codex,Determinar si eres mejor que Claude,,,2026-05-13T16:29:46.642652+00:00,,active,sessions_jsonl,{}
15,codex,Diseñar interfaz temas CMS,,,2026-05-13T16:29:46.653656+00:00,,active,sessions_jsonl,{}
16,codex,Corregir error carga mySqlCRUD,,,2026-05-13T16:29:46.667646+00:00,,active,sessions_jsonl,{}
17,codex,Convertir temas.js en clase con iní­,,,2026-05-13T16:29:46.680653+00:00,,active,sessions_jsonl,{}
18,codex,Corregir error oh-my-posh en la ter,,,2026-05-13T16:29:46.694653+00:00,,active,sessions_jsonl,{}
