id,provider,session_id,timestamp,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,estimated_cost,usage_percent,reset_at,accuracy,source,metadata_json
1,codex,,2026-05-13T16:31:57.877000+00:00,70082,449,69504,,70531,,,,real,sessions_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.codex\\sessions\\2026\\05\\13\\[REDACTED].jsonl""}"
2,codex,,2026-05-13T16:32:03.599000+00:00,70586,134,69504,,70720,,,,real,sessions_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.codex\\sessions\\2026\\05\\13\\[REDACTED].jsonl""}"
3,codex,,2026-05-13T16:32:12.084000+00:00,70775,251,70016,,71026,,,,real,sessions_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.codex\\sessions\\2026\\05\\13\\[REDACTED].jsonl""}"
4,claude,83,2026-05-12T14:53:57.763000+00:00,6,146,11847,21381,152,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
5,claude,83,2026-05-12T14:53:58.988000+00:00,6,146,11847,21381,152,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
6,claude,83,2026-05-12T14:54:49.803000+00:00,6,133,176,33228,139,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
7,claude,83,2026-05-12T14:54:50.052000+00:00,6,133,176,33228,139,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
8,claude,83,2026-05-12T14:54:58.857000+00:00,1,510,8239,33404,511,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
9,claude,83,2026-05-12T14:55:53.374000+00:00,6,245,523,41643,251,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
10,claude,83,2026-05-12T14:55:53.707000+00:00,6,245,523,41643,251,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
11,claude,83,2026-05-12T14:55:54.142000+00:00,6,245,523,41643,251,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
12,claude,83,2026-05-12T14:55:54.751000+00:00,6,245,523,41643,251,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
13,claude,83,2026-05-12T14:56:00.003000+00:00,1080,93,313,42166,1173,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
14,claude,83,2026-05-12T14:56:06.864000+00:00,1,258,3002,42479,259,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
15,claude,83,2026-05-12T14:56:07.310000+00:00,1,258,3002,42479,259,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
16,claude,83,2026-05-12T14:56:08.212000+00:00,1,258,3002,42479,259,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
17,claude,83,2026-05-12T14:56:15.167000+00:00,1,281,583,45481,282,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
18,claude,83,2026-05-12T14:56:15.478000+00:00,1,281,583,45481,282,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
19,claude,83,2026-05-12T14:56:20.244000+00:00,1,325,1719,46064,326,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
20,claude,83,2026-05-12T14:56:20.602000+00:00,1,325,1719,46064,326,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
21,claude,83,2026-05-12T14:56:21.509000+00:00,1,325,1719,46064,326,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
22,claude,83,2026-05-12T14:56:27.082000+00:00,1,103,469,47783,104,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
23,claude,83,2026-05-12T14:56:41.113000+00:00,1,3268,5172,48252,3269,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
24,claude,83,2026-05-12T14:57:09.750000+00:00,1,3268,5172,48252,3269,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
25,claude,83,2026-05-12T15:16:17.494000+00:00,6,1102,3277,53424,1108,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
26,claude,83,2026-05-12T15:16:18.985000+00:00,6,1102,3277,53424,1108,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
27,claude,83,2026-05-12T15:16:21.688000+00:00,6,1102,3277,53424,1108,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
28,claude,83,2026-05-12T15:22:27.327000+00:00,1,541,1199,56701,542,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
29,claude,83,2026-05-12T15:22:28.079000+00:00,1,541,1199,56701,542,,,,real,projects_jsonl,"{""file"": ""C:\\Users\\DISEÑO WEB\\.claude\\projects\\[REDACTED]\\[REDACTED].jsonl""}"
